model,cv_accuracy_mean,test_accuracy,weighted_f1,log_loss,brier_score
Market (Bet365),,0.5382585751978892,0.45893970199630857,0.9724344768444466,0.5798645946792823
Random Forest,0.5644444444444444,0.5277044854881267,0.4523380592076691,0.9893573518578436,0.5901113486563084
KNN,0.5226666666666666,0.525065963060686,0.4784394136227346,1.5685550440586198,0.6183758428613311
Gaussian Naive Bayes,0.536,0.5197889182058048,0.4761045211776366,1.5842831712649565,0.7241967514599355
Logistic Regression,0.5102222222222222,0.5013192612137203,0.4977031642599429,0.9907434013993527,0.5942372852939338
Decision Tree,0.5031111111111111,0.5013192612137203,0.4661488102609346,2.5318222075031365,0.627583674652866
SVM,0.4915555555555556,0.49076517150395776,0.48278710692038296,0.9996365346311012,0.5980569393245817
