model,cv_accuracy_mean,test_accuracy,weighted_f1,log_loss,brier_score
RF - pre-match + sentiment,0.568,0.5382585751978892,0.46277260828120814,0.9932048710215073,0.591791365073104
RF - pre-match,0.5644444444444444,0.5277044854881267,0.4523380592076691,0.9893573518578436,0.5901113486563084
LR - pre-match + sentiment,0.5102222222222222,0.46965699208443273,0.47166848143607687,1.0097423990853276,0.6065653719235792
