model,cv_accuracy_mean,test_accuracy,weighted_f1,log_loss,brier_score
RF - half-time,0.6257777777777778,0.6094986807387863,0.5740528658114604,0.8836528250328648,0.5147767638210126
LR - half-time,0.5991111111111111,0.5804749340369393,0.5854666434295175,0.8590651655039825,0.5092708591001552
RF - pre-match,0.5644444444444444,0.5277044854881267,0.4523380592076691,0.9893573518578436,0.5901113486563084
LR - pre-match,0.5102222222222222,0.5013192612137203,0.4977031642599429,0.9907434013993527,0.5942372852939338
