Date,HomeTeam,AwayTeam,FTR,FTHG,FTAG,HTHG,HTAG,home_form_pts,home_goals_for,home_goals_against,home_xg_for,home_xg_against,away_form_pts,away_goals_for,away_goals_against,away_xg_for,away_xg_against,xg_diff,h2h_home_winrate,market_home_prob,market_draw_prob,market_away_prob,season,market_prediction,home_sentiment,away_sentiment
2021-09-11,Brentford,Brighton,A,0,1,0,0,1.6666666666666667,1.0,0.3333333333333333,1.2445796666666666,0.6872090000000001,2.0,1.3333333333333333,1.0,1.3886273333333332,1.2504613333333332,-0.14404766666666657,0.4453947368421053,0.33970826580226904,0.2972447325769854,0.3630470016207455,2122,A,0.0,0.0
2021-09-11,Crystal Palace,Tottenham,H,3,0,0,0,0.6666666666666666,0.6666666666666666,1.6666666666666667,0.868198,1.1156696666666666,3.0,1.0,0.0,1.235821,1.4043786666666664,-0.36762300000000003,0.4453947368421053,0.22673031026252988,0.27207637231503584,0.5011933174224344,2122,A,0.0,0.0
2021-09-11,Arsenal,Norwich,H,1,0,0,0,0.0,0.0,3.0,0.5902513333333334,3.334076666666667,0.0,0.3333333333333333,3.3333333333333335,0.9330495999999999,1.8334233333333334,-0.3427982666666666,0.4453947368421053,0.6344827586206896,0.20689655172413796,0.1586206896551724,2122,H,0.0,0.0
2021-09-11,Leicester,Man City,A,0,1,0,0,2.0,1.3333333333333333,1.6666666666666667,0.856184,1.6847033333333332,2.0,3.3333333333333335,0.3333333333333333,3.0059533333333337,0.40065126666666667,-2.149769333333334,0.4453947368421053,0.15818639798488665,0.23727959697732998,0.6045340050377834,2122,A,0.0,0.0
2021-09-11,Man United,Newcastle,H,4,1,1,0,2.3333333333333335,2.3333333333333335,0.6666666666666666,1.6160976666666667,0.9838726666666666,0.3333333333333333,1.3333333333333333,2.6666666666666665,1.1672200000000001,2.5513366666666664,0.4488776666666665,0.4453947368421053,0.8090614886731391,0.12729234088457386,0.06364617044228693,2122,H,0.0,0.0
2021-09-11,Watford,Wolves,A,0,2,0,0,1.0,1.0,1.6666666666666667,0.7845333333333334,1.2790343333333334,0.0,0.0,1.0,1.5447199999999999,1.1128416666666665,-0.7601866666666665,0.4453947368421053,0.27982899339292655,0.29731830547998445,0.42285270112708895,2122,A,0.0,0.0
2021-09-11,Chelsea,Aston Villa,H,3,0,1,0,2.3333333333333335,2.0,0.3333333333333333,1.8006826666666667,1.01214,1.3333333333333333,1.6666666666666667,1.3333333333333333,0.9176346666666667,1.03837,0.8830479999999999,0.4453947368421053,0.7412398921832885,0.1725067385444744,0.0862533692722372,2122,H,0.0,0.0
2021-09-11,Southampton,West Ham,D,0,0,0,0,0.6666666666666666,1.3333333333333333,2.0,1.542829,1.9470433333333332,2.3333333333333335,3.3333333333333335,1.6666666666666667,2.247666666666667,1.3275333333333335,-0.7048376666666669,0.4453947368421053,0.3292826342610741,0.2728341826734614,0.39788318306546455,2122,A,0.0,0.0
2021-09-12,Leeds,Liverpool,A,0,3,0,1,0.6666666666666666,1.3333333333333333,2.6666666666666665,1.018405,1.7368766666666666,2.3333333333333335,2.0,0.3333333333333333,2.17045,0.8658006666666666,-1.1520450000000002,0.4453947368421053,0.21945293518300807,0.23755780233560622,0.5429892624813857,2122,A,0.0,0.0
2021-09-13,Everton,Burnley,H,3,1,0,0,2.3333333333333335,2.3333333333333335,1.0,1.9314799999999999,0.7494386666666667,0.3333333333333333,0.6666666666666666,1.6666666666666667,1.398988,1.94851,0.532492,0.4453947368421053,0.5576208178438662,0.2527881040892193,0.1895910780669145,2122,H,0.0,0.0
2021-09-17,Newcastle,Leeds,D,1,1,1,1,0.25,1.25,3.0,1.0309255,2.6068175,0.5,1.0,2.75,0.92693225,2.4030575,0.10399324999999993,0.4453947368421053,0.31870669745958424,0.26558891454965355,0.4157043879907621,2122,A,0.0,0.0
2021-09-18,Liverpool,Crystal Palace,H,3,0,1,0,2.5,2.25,0.25,2.7282375,0.812479,1.25,1.25,1.25,1.3745785000000001,0.8561434,1.353659,0.4453947368421053,0.7913043478260869,0.13565217391304346,0.07304347826086957,2122,H,0.0,0.0
2021-09-18,Burnley,Arsenal,A,0,1,0,1,0.25,0.75,2.0,1.5043935,1.9123475,0.75,0.25,2.25,1.113976,2.6448805,0.39041749999999986,0.4453947368421053,0.2497331910352187,0.263607257203842,0.4866595517609391,2122,A,0.0,0.0
2021-09-18,Wolves,Brentford,A,0,2,0,2,0.75,0.5,0.75,1.7983449999999999,0.880983,1.25,0.75,0.5,1.11588125,0.58738225,0.6824637499999999,0.4453947368421053,0.5183826461440306,0.2918893053672542,0.18972804848871525,2122,H,0.0,0.0
2021-09-18,Man City,Southampton,D,0,0,0,0,2.25,2.75,0.25,2.94211,0.50051345,0.75,1.0,1.5,1.3301555,1.6416342499999999,1.6119545,0.4453947368421053,0.8447536353175019,0.09959200753216865,0.05565435715032954,2122,H,0.0,0.0
2021-09-18,Aston Villa,Everton,H,3,0,0,0,1.0,1.25,1.75,0.9815985,1.08416,2.5,2.5,1.0,1.899575,1.0172315,-0.9179765,0.4453947368421053,0.3956834532374101,0.2877697841726619,0.31654676258992803,2122,H,0.0,0.0
2021-09-18,Norwich,Watford,A,1,3,1,1,0.0,0.25,2.75,0.8441101999999999,2.046355,0.75,0.75,1.75,0.6347517500000001,1.5990807500000002,0.20935844999999986,0.4453947368421053,0.44134505158578524,0.28754298815437523,0.2711119602598395,2122,H,0.0,0.0
2021-09-19,Brighton,Leicester,H,2,1,1,0,2.25,1.25,0.75,1.113446,1.1202925,1.5,1.0,1.5,0.842163,1.9511724999999998,0.27128299999999994,0.4453947368421053,0.3539111200482606,0.2986125075407199,0.34747637241101953,2122,H,0.0,0.0
2021-09-19,West Ham,Man United,A,1,2,1,1,2.0,2.5,1.25,1.86710175,1.16868375,2.5,2.75,0.75,1.9053882500000001,0.893415,-0.03828650000000011,0.4453947368421053,0.21945293518300807,0.23755780233560622,0.5429892624813857,2122,A,0.0,0.0
2021-09-19,Tottenham,Chelsea,A,0,3,0,0,2.25,0.75,0.75,0.9462569000000001,1.776714,2.5,2.25,0.25,1.6558945,1.0524775,-0.7096376,0.4453947368421053,0.19022379269729095,0.2502944640753828,0.5594817432273262,2122,A,0.0,0.0
2021-09-25,Everton,Norwich,H,2,0,1,0,2.0,2.0,1.4,1.670667,0.9693284,0.0,0.4,2.8,0.83182116,2.122058,0.83884584,0.4453947368421053,0.5869632375656471,0.24868705591597154,0.1643497065183812,2122,H,0.0,0.0
2021-09-25,Man United,Aston Villa,A,0,1,0,0,2.6,2.6,0.8,1.9033906000000003,1.048152,1.4,1.6,1.4,0.940822,1.018335,0.9625686000000002,0.4453947368421053,0.6997667444185273,0.18127290903032325,0.11896034655114963,2122,H,0.0,0.0
2021-09-25,Watford,Newcastle,D,1,1,0,1,1.2,1.2,1.6,0.9927754,1.4357976000000001,0.4,1.2,2.6,1.0600764,2.371444,-0.06730100000000006,0.4453947368421053,0.43220338983050843,0.2796610169491525,0.288135593220339,2122,H,0.0,0.0
2021-09-25,Chelsea,Man City,A,0,1,0,0,2.6,2.4,0.2,1.8420956,0.9831160000000001,2.0,2.2,0.2,2.59859,0.49859536000000004,-0.7564944000000002,0.4453947368421053,0.3608184017384886,0.2954200664233876,0.34376153183812375,2122,H,0.0,0.0
2021-09-25,Leicester,Burnley,D,2,2,1,2,1.2,1.0,1.6,0.9244764,1.8558139999999999,0.2,0.6,1.8,1.3586296,1.7497340000000001,-0.4341532,0.4453947368421053,0.6045340050377834,0.23727959697732998,0.15818639798488665,2122,H,0.0,0.0
2021-09-25,Brentford,Liverpool,D,3,3,1,1,1.6,1.0,0.4,1.3581869999999998,0.6745378000000001,2.6,2.4,0.2,2.736176,0.7788168,-1.3779890000000001,0.4453947368421053,0.13544369486248053,0.21069019200830302,0.6538661131292164,2122,A,0.0,0.0
