Date,HomeTeam,AwayTeam,FTR,FTHG,FTAG,HTHG,HTAG,home_form_pts,home_goals_for,home_goals_against,away_form_pts,away_goals_for,away_goals_against,h2h_home_winrate,market_home_prob,market_draw_prob,market_away_prob,season,market_prediction
2022-08-28,Wolves,Newcastle,D,1,1,1,0,0.3333333333333333,0.3333333333333333,1.0,1.6666666666666667,1.6666666666666667,1.0,0.33,0.3548387096774194,0.2903225806451613,0.3548387096774194,2223,H
2022-08-28,Nott'm Forest,Tottenham,A,0,2,0,1,1.3333333333333333,0.6666666666666666,1.0,2.3333333333333335,2.3333333333333335,1.0,0.33,0.1354490430230656,0.20611810894814334,0.6584328480287911,2223,A
2022-08-30,Southampton,Chelsea,H,2,1,2,1,1.0,1.25,2.0,1.75,1.25,1.5,0.33,0.17942467089224767,0.23549488054607506,0.5850804485616772,2223,A
2022-08-30,Leeds,Everton,D,1,1,0,1,1.75,1.75,1.0,0.5,0.75,1.25,0.33,0.44134505158578524,0.2711119602598395,0.28754298815437523,2223,H
2022-08-30,Crystal Palace,Brentford,D,1,1,0,0,1.0,1.5,2.0,1.25,2.25,1.5,0.33,0.4603234298608499,0.27754795035727714,0.26212861978187285,2223,H
2022-08-30,Fulham,Brighton,H,2,1,0,0,1.25,1.5,1.5,2.5,1.25,0.25,0.33,0.30420841683366734,0.28577154308617236,0.41002004008016035,2223,A
2022-08-31,Arsenal,Aston Villa,H,2,1,1,0,3.0,2.75,0.75,0.75,0.75,1.75,0.33,0.6394316163410302,0.20603907637655416,0.15452930728241562,2223,H
2022-08-31,Bournemouth,Wolves,D,0,0,0,0,0.75,0.5,4.0,0.5,0.5,1.0,0.33,0.2711119602598395,0.28754298815437523,0.44134505158578524,2223,A
2022-08-31,Man City,Nott'm Forest,H,6,0,3,0,2.5,3.25,1.25,1.0,0.5,1.25,0.33,0.8943822357183525,0.07292655152780414,0.032691212753843235,2223,H
2022-08-31,West Ham,Tottenham,D,1,1,0,1,0.75,0.25,1.25,2.5,2.25,0.75,0.33,0.263607257203842,0.2497331910352187,0.4866595517609391,2223,A
2022-08-31,Liverpool,Newcastle,H,2,1,0,1,1.25,3.25,1.25,1.5,1.5,1.0,0.33,0.7137192704203014,0.18080888183980967,0.10547184773988898,2223,H
2022-09-01,Leicester,Man United,A,0,1,0,1,0.25,1.5,2.5,1.5,1.0,1.75,0.33,0.2804889172671714,0.25430995165556874,0.4652011310772599,2223,A
